,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,listing_per_host,availability_365,distance,last_review
0,4271676,Manhattan,Nolita,Private room,120,7,3,0.06,3,0,6374.417840556695,1406
1,11460768,Manhattan,Upper West Side,Entire home/apt,1500,1,0,1.3770742181764792,1,0,6365.273198941051,6762
2,267193767,Queens,East Elmhurst,Entire home/apt,200,2,4,4.0,1,365,6368.322587887824,3
3,43392243,Staten Island,Concord,Shared room,30,2,0,1.3770742181764792,4,82,6389.364469411824,6762
4,16065171,Manhattan,Harlem,Shared room,115,1,16,0.27,1,365,6363.763705350826,43
5,51105827,Manhattan,Battery Park City,Entire home/apt,225,90,1,0.02,1,362,6376.030006756601,1207
6,86892032,Queens,Rosedale,Entire home/apt,60,1,57,2.41,1,336,6374.57880799566,0
7,20800727,Brooklyn,Fort Greene,Entire home/apt,200,5,0,1.3770742181764792,1,0,6377.3684897569565,6762
8,10590692,Manhattan,Chelsea,Entire home/apt,650,3,35,1.61,2,179,6372.187687651584,5
9,1372942,Manhattan,Washington Heights,Entire home/apt,180,30,6,0.15,1,0,6361.489653088617,744
10,24633966,Brooklyn,Kensington,Private room,50,14,0,1.3770742181764792,1,0,6382.043368084761,6762
11,643120,Brooklyn,Williamsburg,Private room,50,4,56,2.53,4,8,6374.087820435147,18
12,23273780,Manhattan,Harlem,Entire home/apt,77,1,2,0.05,1,0,6363.012694198986,1097
13,7610841,Manhattan,Upper West Side,Entire home/apt,375,2,40,1.54,2,285,6365.143363875312,23
14,26019828,Manhattan,Hell's Kitchen,Private room,69,2,22,0.64,2,7,6370.318842754708,110
15,3038687,Manhattan,Hell's Kitchen,Entire home/apt,139,45,16,0.21,8,0,6369.369686614568,595
16,186334891,Brooklyn,Sunset Park,Entire home/apt,169,2,48,3.42,2,171,6380.6730962591455,15
17,713776,Brooklyn,Williamsburg,Entire home/apt,94,3,4,1.32,1,31,6373.924024269025,22
18,11869986,Brooklyn,Crown Heights,Entire home/apt,210,4,1,0.16,1,0,6378.717336024936,188
19,8381084,Manhattan,Civic Center,Entire home/apt,80,2,12,0.43,2,8,6375.53284676979,115
20,115993835,Brooklyn,Sunset Park,Private room,28,1,31,1.08,5,1,6383.4708900945725,120
21,89589630,Brooklyn,Bushwick,Private room,50,1,86,7.7,1,198,6375.126948620712,8
22,153754513,Brooklyn,Williamsburg,Entire home/apt,82,1,15,2.02,1,16,6374.138956726654,42
23,116758734,Manhattan,Inwood,Private room,59,4,19,0.84,1,0,6356.71758022408,275
24,29739883,Brooklyn,Greenpoint,Entire home/apt,135,2,249,4.84,2,248,6373.261772152304,4
25,3245480,Brooklyn,Greenpoint,Entire home/apt,109,4,4,0.09,1,0,6372.421512682304,188
26,86786513,Manhattan,Nolita,Entire home/apt,294,5,150,4.19,1,105,6374.5066315875465,9
27,454756,Brooklyn,Fort Greene,Entire home/apt,130,35,5,0.05,1,135,6377.46815886601,308
28,87397826,Queens,Long Island City,Private room,110,4,5,0.24,2,0,6369.205431942502,185
29,160660639,Brooklyn,Carroll Gardens,Entire home/apt,68,1,62,3.33,2,179,6379.393390167506,15
30,59377513,Brooklyn,Prospect-Lefferts Gardens,Private room,85,5,3,0.27,1,32,6379.716747405118,309
31,224317184,Manhattan,Harlem,Private room,215,5,7,2.73,8,335,6363.257371188009,17
32,611109,Brooklyn,Williamsburg,Entire home/apt,224,1,26,1.01,2,192,6375.2668575992175,2
33,585166,Queens,Astoria,Entire home/apt,110,4,30,0.32,1,363,6368.098927565121,22
34,175103962,Brooklyn,Bedford-Stuyvesant,Private room,43,1,35,2.15,6,155,6376.663846763173,158
35,848748,Brooklyn,Greenpoint,Entire home/apt,500,2,20,0.21,2,127,6373.24726219856,14
36,44924546,Brooklyn,Boerum Hill,Private room,72,1,201,4.45,4,5,6378.14800773683,12
37,17790870,Manhattan,Murray Hill,Entire home/apt,83,1,2,0.05,1,0,6371.274676659037,1254
38,159974287,Queens,Flushing,Private room,38,5,34,1.82,1,353,6365.8529847921045,30
39,200380610,Manhattan,Hell's Kitchen,Entire home/apt,550,30,0,1.3770742181764792,65,360,6370.281146671464,6762
40,21739563,Brooklyn,Bedford-Stuyvesant,Private room,100,1,0,1.3770742181764792,1,0,6375.843566383122,6762
41,13148824,Manhattan,Chelsea,Entire home/apt,280,2,6,0.14,1,0,6372.589814811787,918
42,100107219,Brooklyn,Bedford-Stuyvesant,Entire home/apt,160,2,68,2.05,1,48,6377.10142413048,6
43,65098342,Manhattan,Upper East Side,Entire home/apt,225,2,4,1.24,1,1,6368.956805425898,38
44,1155050,Manhattan,Chinatown,Entire home/apt,299,2,80,4.01,1,199,6375.01063239428,2
45,60981198,Brooklyn,Bedford-Stuyvesant,Private room,105,10,2,0.11,3,31,6376.202933898519,325
46,198890291,Queens,Woodside,Entire home/apt,145,3,55,4.5,1,133,6370.0478571696585,19
47,184004979,Brooklyn,Williamsburg,Private room,91,2,68,4.54,2,337,6374.871755659039,15
48,214347105,Manhattan,Midtown,Entire home/apt,449,3,23,2.36,8,326,6370.484968806989,50
49,200754542,Queens,Breezy Point,Private room,195,1,1,0.09,2,59,6387.903288830692,317
50,8014888,Manhattan,Chinatown,Entire home/apt,499,4,6,4.62,1,299,6374.846706902272,11
51,20008462,Manhattan,Upper East Side,Entire home/apt,150,1,2,0.05,1,0,6368.79888337986,1207
52,204906313,Brooklyn,Sheepshead Bay,Private room,55,1,45,5.74,3,83,6387.254307937051,23
53,6895494,Brooklyn,Bedford-Stuyvesant,Private room,29,3,5,1.74,1,18,6376.689565174298,3
54,89769986,Brooklyn,Bedford-Stuyvesant,Private room,55,30,85,2.45,4,232,6375.719348568091,64
55,247673988,Brooklyn,Bushwick,Private room,49,1,18,4.74,2,158,6375.398196330893,6
56,22862376,Manhattan,Harlem,Entire home/apt,70,30,14,0.76,1,50,6365.166838714365,38
57,3750402,Manhattan,Flatiron District,Entire home/apt,375,2,33,0.84,1,346,6372.410607905311,54
58,1534857,Manhattan,Chinatown,Entire home/apt,120,7,1,0.03,2,0,6374.872520457376,1186
59,5243832,Brooklyn,Williamsburg,Private room,100,5,44,1.68,1,41,6374.661706644542,43
60,7537442,Manhattan,East Harlem,Private room,50,7,25,0.5,1,151,6364.451772999112,10
61,260425153,Manhattan,Midtown,Private room,375,1,1,1.0,14,349,6369.4815652995385,8
62,38263259,Manhattan,Harlem,Entire home/apt,140,5,7,0.16,1,0,6363.133068088631,413
63,38236150,Brooklyn,Bedford-Stuyvesant,Private room,45,1,4,0.15,1,0,6375.893878221888,770
64,52991771,Brooklyn,Downtown Brooklyn,Entire home/apt,135,4,27,1.95,1,57,6377.023564456834,17
65,10661558,Manhattan,Upper East Side,Private room,129,1,117,4.2,4,155,6367.845142926944,4
66,87897420,Manhattan,Inwood,Private room,65,4,1,0.16,1,13,6357.967164489836,188
67,48078451,Brooklyn,Williamsburg,Entire home/apt,125,3,93,2.69,1,23,6373.669807217083,8
68,142812843,Manhattan,East Harlem,Private room,75,1,12,0.51,2,0,6365.684116076498,610
69,241551759,Manhattan,Financial District,Entire home/apt,200,9,0,1.3770742181764792,1,15,6376.8375304150295,6762
70,264458360,Manhattan,Hell's Kitchen,Entire home/apt,171,3,6,5.29,1,0,6370.204986260182,8
71,3078092,Manhattan,East Village,Private room,75,1,0,1.3770742181764792,1,0,6373.151515341649,6762
72,10838145,Manhattan,Upper West Side,Entire home/apt,74,2,8,0.21,1,0,6365.574899383462,1048
73,229486123,Manhattan,Midtown,Entire home/apt,479,2,4,2.73,1,286,6369.619440387842,29
74,152047633,Brooklyn,Williamsburg,Private room,90,1,0,1.3770742181764792,1,0,6374.453165779961,6762
75,224048389,Brooklyn,Sunset Park,Private room,48,3,2,0.25,1,0,6383.515089466329,235
76,114386000,Queens,Sunnyside,Entire home/apt,155,2,2,0.32,1,358,6370.442791895333,176
